鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿忠孝路790之61~90號,16.8,住,,,10401,土地1建物1車位1,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,116.07,3,2,2,有,有,3600000,31016,坡道機械,0.0,0,,RPSNMLTKLHKFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿友愛路1~30號,15.18,住,,,10402,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820612,89.78,2,1,1,有,有,2720000,30296,,0.0,0,,RPXNMLTKLHKFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義巿南興路241~270號,28.96,住,,,10402,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700327,103.61,3,2,1,有,無,1800000,17373,,0.0,0,,RPRNMLNLLHKFFAI97CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿文雅街116巷1~30號,21.18,住,,,10403,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850618,130.33,3,2,2,有,有,4260000,32686,坡道平面,0.0,0,,RPRNMLQJMHKFFAI18CA
嘉義市,土地,堀川段1~30地號,57.0,住,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,98246,,0.0,0,房屋未辦保存,RPQNMLOKMHKFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義巿友忠路827巷45弄31~60號,48.0,住,,,10402,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0871208,66.67,3,2,2,有,無,1083600,16253,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLTKLHKFFAI48EA
嘉義市,土地,盧厝段421~450地號,29.19,其他,,,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,65091,,0.0,0,,RPRNMLTKLHKFFAI68EA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路269巷1弄1~30號,93.0,住,,,10403,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0700302,123.99,4,2,2,有,無,4200000,33874,,0.0,0,,RPROMLOKMHKFFAI18CA
嘉義市,土地,埤子頭段271~300地號,1178.0,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36209250,30738,,0.0,0,含增建或未登記建物。,RPUOMLPKMHKFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿重慶二街235巷1~30號,92.0,住,,,10402,土地1建物1車位0,全,1,透天厝,住家用,磚造,0651001,47.7,0,0,0,無,無,1200000,25157,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLRKLHKFFAI88EA
嘉義市,房地(土地+建物),嘉義市嘉義巿宣信街111巷31~60號,50.0,住,,,10403,土地1建物1車位0,全,2,透天厝,住家用,木造,0621127,68.6,2,2,1,有,無,1500000,21866,,0.0,0,,RPSNMLQJMHKFFAI28CA
嘉義市,建物,嘉義市嘉義巿新榮路181~210號,0.0,,,,10403,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0781009,138.82,8,5,5,有,無,2500000,18009,,0.0,0,1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由權利人自行提供屬實。2.二等親之交易，價格可能異於市場正常交易價格。3.為尊重權利人隱私權主張，地政士無法入屋現場勘查，由權利人提供建物現況格局實際資訊，供地政士申報登錄。,RPSNMLNJMHKFFAI97CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿博東路91~120號,18.5,住,,,10403,土地1建物1車位1,十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,178.05,4,2,2,有,有,4300000,24151,坡道平面,0.0,0,,RPVNMLLMLHKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿博愛路一段361~390號,99.0,住,,,10312,土地1建物1車位0,全,4,透天厝,住家用,見其他登記事項,1030829,188.07,3,2,3,有,無,9600000,51045,,0.0,0,,RPXNMLPLLHKFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義巿興村里35鄰溪興街153巷12弄1~30號,32.9,住,,,10403,土地1建物2車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711116,109.21,3,1,2,有,無,1420000,13002,,0.0,0,,RPOOMLRKLHKFFAI08CA
嘉義市,土地,竹圍子段91~120地號,34.88,商,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,505000,14478,,0.0,0,,RPRNMLSKLHKFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路121~150號,7.07,住,,,10402,土地1建物1車位0,十六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,94.34,2,2,2,有,有,2200000,23320,,0.0,0,,RPSNMLSKLHKFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿八德路301~330號,13.98,住,,,10402,土地1建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831129,131.69,3,2,1,有,有,3460000,26274,,0.0,0,,RPTNMLSKLHKFFAI58CA
嘉義市,建物,嘉義市嘉義巿國揚一街1~30號,0.0,,,,10403,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840128,162.94,4,2,2,有,有,2250000,13809,,0.0,0,,RPWNMLSKLHKFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義巿廣州街18巷1~30號,130.0,住,,,10402,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0781019,180.67,10,2,5,有,無,7350000,40682,,0.0,0,含增建或未登記建物。,RPQNMLLLLHKFFAI67CA
嘉義市,房地(土地+建物),嘉義市嘉義巿光彩街541~570號,115.0,商,,,10401,土地1建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1030624,467.55,13,2,15,有,無,34000000,72719,,0.0,0,,RPXNMLOLLHKFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿光彩街541~570號,91.8,商,,,10401,土地6建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1030624,341.25,10,2,12,有,無,29000000,84982,,0.0,0,,RPOOMLOLLHKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿光彩街541~570號,91.8,商,,,10402,土地6建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1030624,342.24,10,2,12,有,無,28800000,84151,,0.0,0,,RPPOMLOLLHKFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義巿民權路361~390號,4.05,商,,,10403,土地3建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860317,49.489999999999995,1,0,1,有,有,1090000,22025,,0.0,0,,RPPNMLKLLHKFFAI47CA
